#group,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,string,string,string,string,double,dateTime:RFC3339
#default,_result,,,,,,
,result,nodes,_field,_tag,_measurement,_value,_time
,,node05,buda,tempAvg,tempAvg,5,2022-11-30T23:59:44Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-01T00:59:44Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-01T00:59:44Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T00:59:44Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T00:59:44Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T00:59:44Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T01:59:44Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T01:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T01:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T01:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T01:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T02:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T02:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T02:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T02:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T02:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T03:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T03:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T03:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T03:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T03:59:44Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T04:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T04:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T04:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T04:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T04:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T05:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T05:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T05:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T05:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T05:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T06:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T06:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T06:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T06:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T06:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T07:59:45Z
,,node05,buda,tempAvg,tempAvg,1,2022-12-01T07:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T07:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T07:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T07:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T08:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-01T08:59:45Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T08:59:45Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T08:59:45Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T08:59:45Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T09:59:45Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-01T09:59:45Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-01T09:59:45Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-01T09:59:45Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-01T09:59:45Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-01T10:59:45Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-01T10:59:45Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-01T10:59:45Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-01T10:59:45Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-01T10:59:45Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-01T11:59:45Z
,,node05,buda,tempAvg,tempAvg,7,2022-12-01T11:59:45Z
